split,group_column,group_value,row_count,mae,rmse,mean_error,median_absolute_error,p90_absolute_error,total_error_contribution
test,Location,PEARSON AIRPORT TERMIN,101,4.0710418082699915,5.844016275851813,-0.7273237469172714,2.465245246887209,11.393159866333008,411.17522263526917
test,Location,ARROW GARAGE,107,3.552276125856649,5.276216009254628,-0.313242191744742,2.1976571083068848,9.066512489318852,380.09354546666145
test,Location,FINCH AND WESTON,124,2.971214167533382,5.2592037461594145,1.3100493684891732,1.2080376148223877,8.612396574020387,368.4305567741394
test,Location,EGLINTON AND KEELE,101,3.290879485630753,4.860679505286043,-0.1476887901230614,1.8804244995117205,8.837852478027344,332.37882804870605
test,Route,501,2807,9.026795140228367,20.927469152647344,-3.5651846177050515,2.9189538955688477,20.811155128479008,25338.21395862103
test,Route,504,2203,9.433985660468997,19.077501141113217,-4.60052155073913,3.7973480224609375,22.046610736846922,20783.0704100132
test,Route,505,1829,9.704049285869901,19.530230052076547,-3.783205462518841,3.8539600372314453,23.6778621673584,17748.70614385605
test,Route,506,1473,10.509659913714371,21.660263237571307,-4.5692122927022805,4.70033597946167,24.001880264282217,15480.729052901268
test,Route,52,1685,6.957770095734639,13.710638702211396,-1.7873964739836288,4.791604995727539,13.319537544250489,11723.842611312866
test,Route,503,949,11.375186877456681,22.005233764816534,-2.4868389492416783,5.272195816040041,25.342096328735355,10795.05234670639
test,Route,510,1559,6.886989430329064,17.213183902813505,-1.6884838396956938,3.1895627975463867,11.941497611999512,10736.81652188301
test,Route,32,1771,5.877938293589501,15.099403530658575,-3.157058924083182,2.03314208984375,12.748181343078612,10409.828717947006
test,Route,102,1004,9.604457302872403,16.28824104603799,-2.9524804800155153,6.163288116455078,17.26359691619873,9642.875132083893
test,Route,29,1382,5.825742290955032,17.934230061058734,-3.749035884605993,1.7829139232635498,9.783692932128918,8051.1758460998535
test,Route,96,935,8.201480632414793,20.522772659076193,-2.4134112286695184,3.7793960571289062,13.888749122619632,7668.384391307831
test,Route,512,1167,6.46272181688258,16.104531509683074,-2.107171616394906,2.7808542251586914,11.810097503662115,7541.996360301971
test,Route,85,957,7.335575434107765,14.874624082416979,-3.429946805242461,4.8124542236328125,13.336911773681638,7020.145690441132
test,Route,54,933,7.34555390716749,19.320629389926143,-3.6109856802806464,3.1580514907836914,13.130217361450205,6853.401795387268
test,Route,97,406,16.802780258244482,27.64681357928042,-7.361124335838656,8.883867263793945,34.4268102645874,6821.9287848472595
test,Route,36,1532,4.394726551699576,15.194113172287624,-2.0990261563121804,1.126220464706421,8.963483715057375,6732.721077203751
test,Route,63,1197,5.612374743522956,16.25248043547008,-1.0904211165413025,2.063721179962158,8.625078010559083,6718.012567996979
test,Route,68,455,13.439151421222059,23.79139997573599,-7.3201711518423895,8.1037015914917,26.035163497924824,6114.813896656036
test,Route,43,841,7.131769018989681,16.397168825619666,-2.367535451362873,2.578545093536377,12.12209129333496,5997.817744970322
test,Route,53,765,7.839522971358954,15.205681038300897,-4.201514519585503,4.313546180725098,13.372865009307864,5997.2350730896
test,Route,300,458,13.023145890652353,30.08750553344345,-4.725783911334375,6.9227235317230225,19.208908939361574,5964.6008179187775
test,Route,507,452,12.594320412230703,23.404353543476653,-4.5866640415866815,4.885022163391113,33.05610008239749,5692.632826328278
test,Route,35,1312,4.288310047329926,11.068249610338697,-1.3041972103642254,2.193462371826172,8.144348716735841,5626.262782096863
test,Route,511,553,10.103097187890713,22.014061902737442,-4.797373337081716,3.1153993606567383,22.35839080810547,5587.012744903564
test,Route,47,769,6.995111294933661,13.331251844270945,-1.1547512338437402,4.463253974914551,13.808872795104985,5379.240585803986
test,Route,939,843,6.351203188211751,17.450289673889525,-3.0028541803642805,3.2637243270874023,9.512703704833983,5354.064287662506
test,Route,84,602,8.416377578066829,18.23467612320438,-2.7570833189542903,3.6401305198669425,18.252719879150384,5066.659301996231
test,Route,40,457,10.755389652836506,22.781416407851925,-4.828435602542869,6.889583587646484,15.663927268981933,4915.213071346283
test,Route,86,714,6.882913463255939,12.44049733152808,-4.320617719190795,6.249763011932371,12.838416767120362,4914.40021276474
test,Route,509,581,8.323659770049655,15.930397000163726,-0.2916440311274307,5.67781400680542,13.59490966796875,4836.0463263988495
test,Route,95,1019,4.617751359237656,11.572325041908291,-1.2820663480225207,2.0306825637817383,9.562687110900882,4705.488635063171
test,Route,72,463,10.027682457835319,21.2239770160012,0.39802801222832107,6.413031578063965,15.1360466003418,4642.816977977753
test,Route,41,808,5.53683463476672,14.090256037189883,0.11466407952922406,2.5088238716125506,10.75729494094849,4473.76238489151
test,Route,7,966,4.605232380685353,13.838411361335638,-1.3108434556187063,1.297755718231202,9.657784461975098,4448.65447974205
test,Route,39,565,7.856416518287321,17.34673231452956,-3.5320780340549165,5.439204216003418,11.69478282928467,4438.875332832336
test,Route,129,487,9.092950180570693,16.987339689360002,-4.797399887069295,4.688174247741699,18.066626548767093,4428.266737937927
test,Route,25,674,6.335733669094233,18.51241019893419,-2.3702055551885497,2.1694979667663574,8.9201322555542,4270.284492969513
test,Route,79,407,10.431540949631675,14.46984574351542,-4.664034005757925,9.491387367248535,16.91293125152588,4245.637166500092
test,Route,34,723,5.783882356118694,14.263558000818044,-3.225240980441145,2.2778944969177246,11.391822052001963,4181.746943473816
test,Route,12,433,9.573683333451974,15.282135502333979,-6.449723501403668,7.586040496826172,14.993542098999026,4145.404883384705
test,Route,91,278,14.886460746792581,27.97649665624077,-5.43622447432374,9.628153324127197,19.6358045578003,4138.436087608337
test,Route,100,576,7.167245845827791,22.628506812392565,-1.1806617321239576,2.5621023178100586,9.155454635620117,4128.333607196808
test,Route,118,307,13.435081786363831,24.29144485890985,0.622796347552868,9.267840385437012,20.3506862640381,4124.570108413696
test,Route,19,238,17.21050338584836,36.52985069387536,-8.306529862540108,7.7451372146606445,39.445925140380865,4096.099805831909
test,Route,116,859,4.628395228224944,17.071829379584305,-1.6763463847434563,1.377084732055664,6.738229942321781,3975.791501045227
test,Route,320,501,7.877486841764279,24.876647822960834,-3.7934470848884887,2.454486608505249,12.241454362869263,3946.6209077239037
test,Route,37,555,7.086047062573132,14.834630051096529,-2.960462625177057,3.4720458984375,13.802758026123048,3932.7561197280884
test,Route,121,200,19.65926538467407,42.98143400588439,-12.324466791152954,4.157143592834473,62.80406627655029,3931.8530769348145
test,Route,75,505,7.766284692405474,19.20427671425766,-1.6899288583509993,2.762209892272949,13.074993705749517,3921.9737696647644
test,Route,73,343,11.239920026706885,22.46580469916025,-6.9148958500898265,6.904809951782227,17.773233795166014,3855.2925691604614
test,Route,94,381,10.083381073368503,21.660636629663713,-5.167027021643371,6.521764755249023,12.647323608398441,3841.7681889533997
test,Route,165,785,4.8833435125411695,17.75891846695918,-1.5004621226316803,1.3705244064331037,7.1900332450866715,3833.424657344818
test,Route,11,353,10.791127669574857,18.925505630364874,-5.884427389409657,8.383556365966797,15.158372116088868,3809.2680673599248
test,Route,929,838,4.4274547509760165,13.490879141769256,-0.2614607213505128,1.25901198387146,9.283494377136234,3710.2070813179016
test,Route,59,222,16.632452101320833,26.096316944623972,-9.034729429193446,9.462252616882324,31.489972686767576,3692.404366493225
test,Route,17,281,12.394665156394986,26.149330550396872,-6.40069069472072,5.504110336303711,23.79581928253174,3482.900908946991
test,Route,960,725,4.642408855701315,14.503367727876354,-1.3250767635477,1.6344165802001953,9.018182563781739,3365.7464203834534
test,Route,110,307,10.947799587871042,20.675883156849128,-6.450245517084575,8.5574951171875,16.49305648803711,3360.97447347641
test,Route,108,366,8.960587461138033,16.093658686810375,-3.925494614846068,5.746230602264406,15.184448719024658,3279.5750107765202
test,Route,133,518,6.317771078536869,17.776303797659644,-4.336244543546876,3.052325725555419,10.22702465057373,3272.605418682098
test,Route,123,389,8.118000526967576,16.87023286743963,-1.764960738870969,5.142923355102539,14.244293785095214,3157.902204990387
test,Route,109,175,17.57498491014753,29.720546893026643,-12.165613931928362,13.47411823272705,33.01967163085936,3075.622359275818
test,Route,89,616,4.966286115832143,15.032626686770122,-1.4849877450373266,1.3150639533996582,10.158873558044434,3059.2322473526
test,Route,Unknown,896,3.319345290200837,11.793257818856157,-1.065111499319333,1.0229386687278748,5.902521133422852,2974.13338001995
test,Route,38,491,5.998877416560218,19.111269445096855,-4.258670033845299,2.8729305267333984,8.34032917022705,2945.448811531067
test,Route,24,586,4.923155390361877,9.857255368631126,-1.9538805252862872,1.4549040794372559,13.252933979034424,2884.9690587520604
test,Route,45,564,5.080322072438315,9.97841662546986,-2.122502069523994,2.7072343826293945,10.247539806365968,2865.3016488552094
test,Route,985,510,5.522748647016638,18.866314444990376,-3.231954053803986,2.396566390991211,8.479811668395998,2816.601809978485
test,Route,60,583,4.658197402136199,13.364414287966985,-0.9477816282373759,1.6646347045898438,9.421868705749512,2715.729085445404
test,Route,71,259,10.364325910001188,25.623999761770886,-1.0040051891076518,4.276919364929199,19.44588432312014,2684.3604106903076
test,Route,51,243,11.025022485128646,22.156558942967877,-3.7465256683129833,5.980009078979492,18.639226722717286,2679.080463886261
test,Route,161,316,8.382454771029797,18.777364302473575,-3.349217829825003,4.060561180114747,16.92984962463379,2648.855707645416
