split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Location,SPADINA STATION,349,0.06876790830945559,0.08396940740134916,0.01520149909189357,0.625
test,30,Location,WARDEN STATION,593,0.06408094435075885,0.10663891621805648,0.04255797186729762,0.7368421052631579
test,30,Location,SUNNYSIDE LOOP,146,0.06164383561643835,0.12156819869693976,0.059924363080501405,0.2222222222222222
test,30,Location,RONCESVALLES YARD,132,0.06060606060606061,0.05165516796246675,-0.00895089264359386,0.75
test,30,Location,EGLINTON STATION,972,0.059670781893004114,0.09327779507308566,0.033607013180081545,0.3275862068965517
test,30,Location,YONGE AND STEELES,135,0.05925925925925926,0.06207313461884575,0.002813875359586486,0.125
test,30,Location,ROYAL YORK STATION,243,0.05761316872427984,0.10444083400243132,0.04682766527815148,0.14285714285714285
test,30,Location,BIRCHMOUNT GARAGE,191,0.05759162303664921,0.0732180551218639,0.015626432085214685,0.9090909090909091
test,30,Location,JANE AND TRETHEWEY,140,0.05714285714285714,0.06064887817982313,0.003506021036965991,0.0
test,30,Location,ELLESMERE AND KENNEDY,114,0.05263157894736842,0.07925846430129906,0.026626885353930638,0.0
test,30,Location,BROADVIEW STATION,689,0.04934687953555878,0.052415085735450985,0.003068206199892204,0.6176470588235294
test,30,Location,KEELE STATION,400,0.0475,0.06222377919882996,0.014723779198829959,0.42105263157894735
test,30,Location,MALVERN GARAGE,127,0.047244094488188976,0.05099093410237798,0.003746839614189007,0.5
test,30,Location,JANE STATION,258,0.046511627906976744,0.06812635868112733,0.02161473077415059,0.08333333333333333
test,30,Location,MOUNT DENNIS GARAGE,206,0.043689320388349516,0.06455153139145334,0.02086221100310382,0.6666666666666666
test,30,Location,PAPE STATION,180,0.03888888888888889,0.05436275021897418,0.015473861330085291,0.2857142857142857
test,30,Location,YORKDALE STATION,136,0.03676470588235294,0.06285779567791472,0.026093089795561776,0.6
test,30,Location,HUMBERWOOD LOOP,115,0.034782608695652174,0.04118772863369916,0.006405119938046988,0.5
test,30,Location,DUFFERIN GATE LOOP,146,0.03424657534246575,0.03139304573654051,-0.002853529605925241,0.4
test,30,Location,KENNEDY STATION,1801,0.03164908384230983,0.04420675104419317,0.012557667201883345,0.7017543859649122
test,30,Location,DUFFERIN AND LAWRENCE,191,0.031413612565445025,0.03101011761707975,-0.00040349494836527597,0.3333333333333333
test,30,Location,BATHURST STATION,366,0.030054644808743168,0.029090440021624205,-0.0009642047871189635,0.5454545454545454
test,30,Location,MAIN STREET STATION,396,0.027777777777777776,0.05448520512407114,0.02670742734629336,0.36363636363636365
test,30,Location,OLD MILL STATION,145,0.027586206896551724,0.04822589371289153,0.020639686816339806,0.5
test,30,Location,UNION STATION,129,0.023255813953488372,0.09814010700571904,0.07488429305223067,0.3333333333333333
test,30,Location,FINCH STATION,873,0.022909507445589918,0.041747385713048785,0.018837878267458866,0.4
test,30,Location,KIPLING STATION,1174,0.019591141396933562,0.03359652489179413,0.014005383494860565,0.7391304347826086
test,30,Location,ARROW GARAGE,107,0.018691588785046728,0.04124870680046271,0.022557118015415985,1.0
test,30,Location,KINGSTON ROAD LOOP,112,0.017857142857142856,0.10229861471868516,0.0844414718615423,1.0
test,30,Location,STEELES LOOP,172,0.01744186046511628,0.07455110530840056,0.05710924484328428,0.0
test,30,Location,KINGSTON LOOP,174,0.017241379310344827,0.08193224335046502,0.0646908640401202,0.6666666666666666
test,30,Location,LESLIE BARNS,122,0.01639344262295082,0.07789450737869089,0.06150106475574006,1.0
test,30,Location,MORNINGSIDE AND PASSMO,122,0.01639344262295082,0.05167096665846638,0.03527752403551555,1.0
test,30,Location,PIONEER VILLAGE STATIO,738,0.016260162601626018,0.03854182020377433,0.02228165760214831,0.5833333333333334
test,30,Location,FINCH AND WESTON,124,0.016129032258064516,0.04016239694770299,0.024033364689638473,0.0
test,30,Location,QUEENSWAY GARAGE,126,0.015873015873015872,0.07693299173473539,0.06105997586171952,1.0
test,30,Location,COXWELL STATION,211,0.014218009478672985,0.0671678240945059,0.05294981461583292,1.0
test,30,Location,ELLESMERE AND MARKHAM,143,0.013986013986013986,0.03330667503503751,0.019320661049023524,0.5
test,30,Location,OSSINGTON STATION,224,0.013392857142857142,0.04772293459973293,0.03433007745687579,0.0
test,30,Location,CASTLE FRANK STATION,196,0.01020408163265306,0.03469763035833716,0.0244935487256841,0.5
